question_num,question,overall,ukrainian,structure,length
1,Квадратні рівняння...,0.5855855855855856,0.9423423423423424,0,1089
2,Квадратні рівняння...,0.6899475524475525,0.9597902097902098,1,1083
3,Квадратні рівняння...,0.6970238095238096,0.9880952380952381,1,783
4,Теорема Піфагора...,0.5309782608695652,0.9239130434782609,1,593
5,Теорема Піфагора...,0.5342047930283225,0.9368191721132898,1,695
6,Теорема Піфагора...,0.5348993288590604,0.9395973154362416,1,689
7,Площа трикутника...,0.5245862884160757,0.8983451536643026,1,769
8,Площа трикутника...,0.5409217877094972,0.9636871508379888,1,575
9,Площа трикутника...,0.5354452054794521,0.9417808219178082,1,505
10,Об'єм кулі...,0.5369668246445498,0.9478672985781991,1,402
11,Об'єм кулі...,0.5429022082018927,0.9716088328075709,1,559
12,Об'єм кулі...,0.5404255319148936,0.9617021276595744,1,462
13,Логарифми...,0.5379283489096574,0.9517133956386293,1,970
14,Логарифми...,0.5437664041994751,0.9750656167979003,1,1147
15,Логарифми...,0.5303511705685618,0.9214046822742475,1,1125
