question_num,question,overall,retrieval,ukrainian,citations,length
1,Квадратні рівняння...,0.7702542947502586,0.7850340008735657,0.9389763779527559,0,1068
2,Квадратні рівняння...,0.9303479583741642,0.7850340008735657,0.9793510324483776,0,531
3,Квадратні рівняння...,0.671414014524093,0.7850340008735657,0.9436152570480929,0,1190
4,Теорема Піфагора...,0.7430280817722107,0.7308395266532898,0.8951048951048951,0,442
5,Теорема Піфагора...,0.7435043496903391,0.7308395266532898,0.8970099667774086,0,466
6,Теорема Піфагора...,0.7415595503036793,0.7308395266532898,0.8892307692307693,0,542
7,Площа трикутника...,0.7092462913195292,0.8669320821762085,0.9966666666666667,0,1333
8,Площа трикутника...,0.8063420831246233,0.8669320821762085,0.9850498338870431,1,881
9,Площа трикутника...,0.8047979345120175,0.8669320821762085,0.9788732394366197,1,861
10,Об'єм кулі...,0.6447436586421306,0.7134499907493591,0.9228346456692913,1,1096
11,Об'єм кулі...,0.7568360443452267,0.7134499907493591,0.9712041884816754,0,1192
12,Об'єм кулі...,0.7549440881338987,0.7134499907493591,0.9636363636363636,0,1112
13,Логарифми...,0.7286724736009326,0.7027177691459656,0.8714285714285714,0,828
14,Логарифми...,0.5868523677808267,0.7027177691459656,0.9481481481481482,0,278
15,Логарифми...,0.5528836038361592,0.7027177691459656,0.5682730923694779,0,834
